KCH,avg_pjf,avg_yxl,avg_aplus,max_aplus,max_yxl,min_yxl,avg_xkrs,avg_jgl,min_jgl
1002450001,84.46,2.44,1.0,1,2.44,2.44,41.0,100.0,100.0
1214030004,80.8,5.36,3.0,3,5.36,5.36,56.0,100.0,100.0
1222070001,73.14,0.0,0.0,0,0.0,0.0,55.5,100.0,100.0
1222080001,74.19,0.0,0.0,0,0.0,0.0,53.0,100.0,100.0
1222090001,82.245,3.335,1.0,2,6.67,0.0,28.0,100.0,100.0
1222110001,82.58333333333333,3.543333333333333,2.3333333333333335,4,6.0,1.06,65.66666666666667,100.0,100.0
1222120001,84.065,4.705,3.0,4,6.25,3.16,69.0,100.0,100.0
1222130001,82.83666666666666,4.766666666666667,2.3333333333333335,4,9.09,2.08,49.333333333333336,100.0,100.0
1222140001,82.545,5.46,3.0,4,7.89,3.03,55.0,100.0,100.0
1222150001,82.305,7.045,3.0,4,10.81,3.28,44.0,100.0,100.0
1222160001,82.15,5.08,3.0,3,5.08,5.08,50.0,100.0,100.0
1222170001,82.88,3.15,2.0,3,4.4,1.79,65.0,100.0,100.0
1222180001,83.97,5.59,3.5,4,5.8,5.38,65.0,100.0,100.0
1222190001,82.35333333333334,5.023333333333333,2.3333333333333335,3,6.12,3.39,48.333333333333336,100.0,100.0
1222200001,83.055,5.135,3.0,4,7.14,3.13,57.5,100.0,100.0
1222210001,81.575,5.26,2.5,3,5.26,5.26,44.0,100.0,100.0
1222220001,82.11,3.64,2.0,2,3.64,3.64,49.0,100.0,100.0
1222230001,62.68666666666667,0.52,0.3333333333333333,1,1.56,0.0,64.66666666666667,100.0,100.0
1222240001,76.77,0.0,0.0,0,0.0,0.0,34.0,100.0,100.0
1222250001,74.3,0.0,0.0,0,0.0,0.0,92.0,100.0,100.0
1222260001,76.44333333333333,2.26,3.6666666666666665,10,6.06,0.0,147.0,100.0,100.0
5200380002,55.65,0.0,0.0,0,0.0,0.0,19.0,100.0,100.0
1002540001,68.625,0.0,0.0,0,0.0,0.0,31.0,100.0,100.0
1002550001,77.715,8.25,2.5,3,9.09,7.41,29.5,100.0,100.0
1002620001,70.29499999999999,1.53,1.5,3,3.06,0.0,92.0,100.0,100.0
1002660001,79.50333333333333,2.3000000000000003,0.6666666666666666,2,6.9,0.0,28.666666666666668,100.0,100.0
1002830001,85.44,4.55,3.0,3,4.55,4.55,66.0,100.0,100.0
1300640002,79.41000000000001,3.7133333333333334,12.0,15,4.5,3.08,322.6666666666667,100.0,100.0
1300780003,73.945,8.93,9.0,9,9.68,8.18,101.5,100.0,100.0
1301610002,74.82,7.43,11.0,11,7.43,7.43,147.0,100.0,100.0
1301860002,67.16,3.36,4.0,8,6.72,0.0,113.0,100.0,100.0
1302530002,65.92333333333333,3.6300000000000003,13.333333333333334,14,4.02,3.41,363.6666666666667,100.0,100.0
1302760002,73.84,1.72,1.0,1,1.72,1.72,58.0,100.0,100.0
1303260002,81.43,10.0,4.0,4,10.0,10.0,40.0,100.0,100.0
1303430001,83.03,8.33,3.0,3,8.33,8.33,36.0,100.0,100.0
1303440001,78.36,8.2,5.0,5,8.2,8.2,61.0,100.0,100.0
6400510002,62.51,2.38,0.5,1,4.76,0.0,23.5,100.0,100.0
0208310001,79.0,0.0,0.0,0,0.0,0.0,1.0,100.0,100.0
0806330001,82.26,5.26,1.0,1,5.26,5.26,19.0,100.0,100.0
0806340001,85.11,7.14,2.0,2,7.14,7.14,28.0,100.0,100.0
0806360001,71.81,0.0,0.0,0,0.0,0.0,36.0,100.0,100.0
0903670001,64.98333333333333,1.0033333333333332,1.6666666666666667,5,3.01,0.0,168.0,100.0,100.0
1003060001,84.29,0.0,0.0,0,0.0,0.0,35.0,100.0,100.0
1100410002,84.24,11.93,13.0,13,11.93,11.93,109.0,100.0,100.0
1101000003,68.9,0.75,1.0,1,0.75,0.75,134.0,100.0,100.0
1104420002,76.66,2.68,3.0,3,2.68,2.68,109.0,100.0,100.0
1222270001,78.8825,0.0,0.0,0,0.0,0.0,39.0,100.0,100.0
1222280001,82.14,0.0,0.0,0,0.0,0.0,35.0,100.0,100.0
1222290001,78.00333333333333,2.15,0.6666666666666666,2,6.45,0.0,64.66666666666667,100.0,100.0
1222300001,79.745,3.525,1.5,2,5.56,1.49,51.0,100.0,100.0
1222310001,81.13,0.0,0.0,0,0.0,0.0,36.5,100.0,100.0
1222330001,76.77666666666666,3.2266666666666666,1.0,3,9.68,0.0,56.666666666666664,100.0,100.0
1222340001,66.59,5.88,2.0,2,5.88,5.88,34.0,100.0,100.0
1222350001,84.4,8.57,3.0,3,8.57,8.57,35.0,100.0,100.0
1222370001,78.88499999999999,4.595,1.5,2,6.06,3.13,32.5,100.0,100.0
1222380001,76.345,7.4,3.0,4,9.09,5.71,39.5,100.0,100.0
1222400001,81.49,5.71,2.0,2,5.71,5.71,35.0,100.0,100.0
1222410001,83.75,6.73,2.5,3,8.33,5.13,37.5,100.0,100.0
1300860012,81.51333333333334,8.766666666666667,28.666666666666668,36,10.5,7.32,328.0,100.0,100.0
1302080002,79.94,3.08,2.0,2,3.08,3.08,65.0,100.0,100.0
1302240002,77.33,0.0,0.0,0,0.0,0.0,9.0,100.0,100.0
1303450001,75.78,10.2,5.0,5,10.2,10.2,49.0,100.0,100.0
1401980003,82.62,0.0,0.0,0,0.0,0.0,29.0,100.0,100.0
0107920001,78.425,0.0,0.0,0,0.0,0.0,29.5,100.0,100.0
0301080002,81.00999999999999,0.0,0.0,0,0.0,0.0,91.0,100.0,100.0
0301330002,77.27,1.3133333333333332,1.3333333333333333,2,1.39,1.27,102.33333333333333,100.0,100.0
0901100002,72.235,2.685,4.5,7,4.19,1.18,160.0,100.0,100.0
0903700001,81.47999999999999,10.575,5.5,11,21.15,0.0,26.0,100.0,100.0
0903710001,84.91499999999999,13.040000000000001,16.0,24,16.44,9.64,113.5,100.0,100.0
1207130004,81.705,9.46,19.5,24,10.04,8.88,202.5,100.0,100.0
1222440001,64.47,0.715,0.5,1,1.43,0.0,56.5,100.0,100.0
1222450001,64.675,0.86,0.5,1,1.72,0.0,48.5,100.0,100.0
1303460001,80.69333333333333,7.933333333333334,13.666666666666666,20,11.49,1.84,169.66666666666666,100.0,100.0
1803080001,73.0,0.0,0.0,0,0.0,0.0,49.0,100.0,100.0
2400680002,84.32,9.86,7.0,7,9.86,9.86,71.0,100.0,100.0
2400750001,80.57666666666667,3.32,3.0,5,6.85,1.22,103.66666666666667,100.0,100.0
2400760001,78.63,7.1,11.0,11,7.1,7.1,154.0,100.0,100.0
2400790001,84.37,1.67,1.0,1,1.67,1.67,60.0,100.0,100.0
2400810001,76.15,0.0,0.0,0,0.0,0.0,66.0,100.0,100.0
2400820001,83.375,7.3100000000000005,6.5,10,7.32,7.3,89.0,100.0,100.0
2400860001,85.62,7.69,3.0,3,7.69,7.69,39.0,100.0,100.0
2400870001,80.65,5.0,2.0,2,5.0,5.0,40.0,100.0,100.0
1222480001,73.84,0.0,0.0,0,0.0,0.0,68.0,100.0,100.0
1222490001,81.375,4.69,3.0,6,9.38,0.0,60.5,100.0,100.0
1222500001,77.75,2.3899999999999997,1.5,2,3.03,1.75,60.5,100.0,100.0
1222510001,80.155,5.595,2.0,2,6.06,5.13,36.0,100.0,100.0
5600550001,85.59,5.88,1.0,1,5.88,5.88,17.0,100.0,100.0
6400100002,71.115,2.935,1.5,2,4.44,1.43,52.5,100.0,100.0
6400240002,75.63499999999999,16.52,8.5,11,20.0,13.04,50.5,100.0,100.0
6400590002,78.07,8.89,1.0,1,11.11,6.67,12.0,100.0,100.0
2701000015,84.06,4.44,8.0,8,4.44,4.44,180.0,100.0,100.0
1003080001,83.03999999999999,5.335,2.0,3,7.89,2.78,37.0,100.0,100.0
0808070001,82.84333333333332,3.466666666666667,4.0,10,7.41,0.0,90.66666666666667,100.0,100.0
1504690001,84.91,9.43,5.0,5,9.43,9.43,53.0,100.0,100.0
1107450001,77.935,4.42,3.0,3,4.84,4.0,68.5,100.0,100.0
1004620001,79.63333333333333,4.09,1.3333333333333333,3,8.57,0.0,33.333333333333336,100.0,100.0
1101980024,73.76,2.53,4.0,4,2.53,2.53,149.0,100.0,100.0
0111830001,70.98,2.9575,3.75,7,4.83,1.67,127.0,100.0,100.0
0401990006,86.0,12.5,2.0,2,12.5,12.5,16.0,100.0,100.0
1504440001,80.13,8.33,4.0,4,8.33,8.33,48.0,100.0,100.0
0111820001,79.79333333333334,7.903333333333333,4.333333333333333,7,8.33,7.69,55.333333333333336,100.0,100.0
2401080001,78.60333333333334,1.1866666666666668,1.0,2,2.44,0.0,80.66666666666667,100.0,100.0
9001000001,86.2,40.0,4.0,4,40.0,40.0,10.0,100.0,100.0
0202660001R,80.39,8.7,2.0,2,8.7,8.7,23.0,100.0,100.0
0904850001,81.965,22.604999999999997,31.0,39,24.47,20.74,140.5,100.0,100.0
1504650001,82.21,11.76,4.0,4,11.76,11.76,34.0,100.0,100.0
2801000010,66.3,0.0,0.0,0,0.0,0.0,261.0,100.0,100.0
1404220002,76.74,2.63,1.0,1,2.63,2.63,35.0,100.0,100.0
1405610001,84.71,9.62,5.0,5,9.62,9.62,52.0,100.0,100.0
2500100001,76.81,12.435,4.5,6,18.75,6.12,40.5,100.0,100.0
9901510001,71.46,3.0033333333333334,3.3333333333333335,7,6.93,0.0,119.66666666666667,100.0,100.0
1303150002,86.74,11.11,3.0,3,11.11,11.11,27.0,100.0,100.0
0408450001,81.33,0.0,0.0,0,0.0,0.0,110.0,100.0,100.0
0408460001,78.82,2.59,3.0,3,2.59,2.59,111.0,100.0,100.0
0408470001,80.24000000000001,0.45,0.5,1,0.9,0.0,88.5,100.0,100.0
0408480001,79.11,5.324999999999999,5.0,9,9.28,1.37,85.0,100.0,100.0
0408490001,77.83000000000001,5.37,2.5,3,6.82,3.92,46.5,100.0,100.0
0408500001,79.065,0.515,0.5,1,1.03,0.0,96.5,100.0,100.0
0408510001,82.275,0.0,0.0,0,0.0,0.0,80.0,100.0,100.0
0408520001,83.00999999999999,8.945,5.5,8,10.0,7.89,59.0,100.0,100.0
0408530001,83.09,0.0,0.0,0,0.0,0.0,22.0,100.0,100.0
0408540001,75.39500000000001,3.6449999999999996,2.5,3,4.35,2.94,68.0,100.0,100.0
0408550001,85.725,2.2800000000000002,2.0,3,2.34,2.22,86.5,100.0,100.0
0408560001,85.245,3.185,3.0,5,5.38,0.99,97.0,100.0,100.0
0408570001,83.29,0.0,0.0,0,0.0,0.0,56.0,100.0,100.0
0408580001,77.995,11.015,10.5,12,12.75,9.28,96.0,100.0,100.0
0208680001,82.9,4.0,2.0,2,4.0,4.0,50.0,100.0,100.0
2203880002,84.095,4.7,9.0,16,7.48,1.92,159.0,100.0,100.0
1003100001,85.985,8.25,2.5,3,9.09,7.41,30.0,100.0,100.0
1003110001,72.29,11.43,4.0,4,11.43,11.43,32.0,100.0,100.0
1003150001,81.255,8.115,2.5,3,9.09,7.14,30.0,100.0,100.0
1003160001,83.62,8.41,2.5,3,9.68,7.14,29.5,100.0,100.0
1003180001,85.6,7.734999999999999,2.0,2,8.33,7.14,26.0,100.0,100.0
1003190001,84.64,9.165,2.0,2,10.0,8.33,22.0,100.0,100.0
1003200001,81.66,7.29,1.5,2,8.33,6.25,20.0,100.0,100.0
1003210001,84.59,7.155,2.0,2,7.41,6.9,28.0,100.0,100.0
1003220001,79.25,8.33,1.0,1,8.33,8.33,12.0,100.0,100.0
1003240001,84.95,9.52,2.0,2,9.52,9.52,21.0,100.0,100.0
1003260001,77.56,0.0,0.0,0,0.0,0.0,27.0,100.0,100.0
