teachingClassID,courseNumber,courseName,teacherName,departmentName,teachingPlace,credit,hours,campusName
202120222050434000101,0504340001,当代艺术与架上绘画,邹卫,艺术学部,9-17周 星期一 第7-10节 艺术学院L7-715,2,36,粤海校区
202120222050436000201,0504360002,服饰消费心理学,巢晃,艺术学部,"10-16周 星期二 第7-10节 艺术学院L7-717,10-16周 星期四 第7-10节 艺术学院L7-717",2,54,粤海校区
202120222050442000101,0504420001,品牌整合设计,余晓宝,艺术学部,1-14周 星期三 第1-4节 艺术学院L7-417,2,54,粤海校区
202120222050442000102,0504420001,品牌整合设计,,艺术学部,"10-16周 星期三 第1-4节 艺术学院L7-718,10-16周 星期五 第1-4节 艺术学院L7-718",2,54,粤海校区
202120222050454000101,0504540001,产品策划,洪吴迪,艺术学部,"10-16周 星期四 第1-4节 艺术学院L7-715,10-16周 星期二 第1-4节 艺术学院L7-715",2,54,粤海校区
202120222050455000101,0504550001,产品设计色彩计划,彭燕凝,艺术学部,"1-7周 星期一 第7-10节 艺术学院L7-716,1-7周 星期三 第7-10节 艺术学院L7-716",2,54,粤海校区
202120222050459000101,0504590001,服装表演与策划,王阳,艺术学部,"1-7周 星期一 第1-4节 艺术学院L7-714,1-7周 星期四 第1-4节 艺术学院L7-714",2,54,粤海校区
202120222050461000101,0504610001,服装市场学,莫艳,艺术学部,"10-16周 星期五 第7-10节 艺术学院L7-718,10-16周 星期二 第1-4节 艺术学院L7-718",2,54,粤海校区
202120222050463000101,0504630001,服装展示与陈列,王阳,艺术学部,"9-17周 星期四 第1-4节 艺术学院L7-724,9-17周 星期一 第1-4节 艺术学院L7-724",3,72,粤海校区
202120222050464000101,0504640001,广场景观设计,梁仕然,艺术学部,"1-9周 星期二 第7-10节 艺术学院L7-720,1-9周 星期五 第7-10节 艺术学院L7-720",3,72,粤海校区
202120222050472000101,0504720001,整合营销传播,张牧,艺术学部,1-14周 星期一 第1-4节 艺术学院L7-718,2,54,粤海校区
202120222050473000101,0504730001,服装营销学,苏芷庭,艺术学部,"1-9周 星期二 第7-10节 艺术学院L7-714,1-9周 星期四 第7-10节 艺术学院L7-714",3,72,粤海校区
202120222050480000101,0504800001,文化品牌营销,张牧,艺术学部,1-14周 星期二 第1-4节 艺术学院L7-417,3,54,粤海校区
202120222050484000101,0504840001,专题设计（3）,王方良,艺术学部,"1-7周 星期三 第1-4节 艺术学院L7-724,1-7周 星期五 第1-4节 艺术学院L7-724",2,54,粤海校区
202120222050494000101,0504940001,艺术与生活,侯佳彤,艺术学部,"6周,10周,14周 星期日 第11-14节 艺术学院L7-717",2,36,粤海校区
202120222050511000101,0505110001,视觉传达设计方法论,贺沁洋,艺术学部,"10-16周 星期二 第7-10节 艺术学院L7-716,10-16周 星期四 第7-10节 艺术学院L7-716",2,54,粤海校区
202120222050522000101,0505220001,欧洲当代艺术赏析,潘梦露,艺术学部,1-18周 星期三 第11-12节 艺术学院L7-715,2,36,粤海校区
202120222050523000101,0505230001,三维基础,李晓峰,艺术学部,"1-9周 星期二 第7-10节 艺术学院L7-518,1-9周 星期五 第7-10节 未排地点",3,72,粤海校区
202120222050538000201,0505380002,故事板设计,吴浚,艺术学部,9-17周 星期二 第1-4节 艺术学院L7-613,2,36,粤海校区
202120222050543000101,0505430001,数字合成,徐海川,艺术学部,"1-9周 星期一 第1-3节 艺术学院L7-518,1-9周 星期三 第1-3节 艺术学院L7-518",2,54,粤海校区
202120222050550000101,0505500001,现代设计史,余晓宝,艺术学部,1-9周 星期四 第1-4节 艺术学院L7-417,2,36,粤海校区
202120222050563000101,0505630001,服装电子商务,杨晨啸,艺术学部,"1-7周 星期三 第1-4节 艺术学院L7-723,1-7周 星期一 第1-4节 艺术学院L7-723",2,54,粤海校区
202120222050564000101,0505640001,滨水区景观设计,巫濛,艺术学部,"10-16周 星期二 7-10节 艺术学院L7-614b,10-16周 星期五 7-10节 艺术学院L7-614b",2,54,粤海校区
202120222050568000101,0505680001,建筑小环境设计,巫濛,艺术学部,"1-7周 星期一 第1-4节 艺术学院L7-722,1-7周 星期三 第1-4节 艺术学院L7-722",2,54,粤海校区
202120222050568000102,0505680001,建筑小环境设计,宋红阳,艺术学部,"10-16周 星期二 第11-14节 艺术学院L7-718,10-16周 星期四 第11-14节 艺术学院L7-718",2,54,粤海校区
